Customer ID,Credit Limit,Utilisation %,Avg Payment Ratio,Min Due Paid Frequency,Merchant Mix Index,Cash Withdrawal %,Recent Spend Change %,DPD Bucket Next Month,spending_decline_flag,spending_stress,high_utilization_flag,utilization_risk,payment_risk_ratio,low_payment_frequency,payment_stress,high_cash_withdrawal,cash_stress_indicator,narrow_merchant_mix,utilization_payment_mismatch,spending_utilization_stress,payment_utilization_critical,early_risk_score
C001,165000,12,32,66,0.73,12,-21,3,1,2,0,0,5.076923076923077,0,0,0,1,0,0,0,0,0.19999999999999998
C002,95000,10,49,45,0.42,20,1,0,0,0,0,0,4.090909090909091,0,0,1,2,0,0,0,0,0.06666666666666667
C003,60000,14,88,23,0.96,9,-15,0,0,1,0,0,1.5333333333333334,1,1,0,0,0,0,0,0,0.16666666666666666
C004,125000,99,65,31,0.79,6,-23,0,1,2,1,3,0.31,0,1,0,0,0,0,1,0,0.5499999999999999
C005,115000,23,48,46,0.64,13,7,0,0,0,0,0,1.9166666666666667,0,0,0,1,0,0,0,0,0.03333333333333333
C006,135000,36,96,85,0.69,4,-19,0,1,1,0,0,2.2972972972972974,0,0,0,0,0,0,0,0,0.08333333333333333
C007,75000,18,48,22,0.54,2,-7,0,0,0,0,0,1.1578947368421053,1,1,0,0,0,0,0,0,0.08333333333333333
C008,75000,88,49,65,0.4,22,-3,0,0,0,1,2,0.7303370786516854,0,0,1,2,0,1,0,0,0.26666666666666666
C009,140000,24,100,26,0.48,10,22,0,0,0,0,0,1.04,1,1,0,1,0,0,0,0,0.11666666666666665
C010,200000,99,81,1,0.81,10,-23,1,1,2,1,3,0.01,1,2,0,1,0,0,1,1,0.6666666666666666
C011,140000,51,62,89,0.21,17,27,0,0,0,0,1,1.7115384615384615,0,0,1,1,1,0,0,0,0.16666666666666666
C012,35000,86,69,16,0.29,14,-3,2,0,0,1,2,0.1839080459770115,1,2,0,1,1,0,0,1,0.4333333333333334
C013,130000,60,68,32,0.24,11,5,0,0,0,0,1,0.5245901639344263,0,1,0,1,1,0,0,0,0.25
C014,30000,72,30,8,0.23,8,-5,0,0,0,0,2,0.1095890410958904,1,2,0,0,1,1,0,1,0.4000000000000001
C015,140000,61,40,42,0.88,9,-23,2,1,2,0,1,0.6774193548387096,0,0,0,0,0,0,1,0,0.26666666666666666
C016,170000,13,86,47,0.76,11,27,0,0,0,0,0,3.357142857142857,0,0,0,1,0,0,0,0,0.03333333333333333
C017,30000,32,79,38,0.58,16,29,0,0,0,0,0,1.1515151515151516,0,1,1,1,0,0,0,0,0.11666666666666665
C018,125000,24,52,92,0.28,5,19,0,0,0,0,0,3.68,0,0,0,0,1,0,0,0,0.03333333333333333
C019,185000,52,60,41,0.59,6,-3,1,0,0,0,1,0.7735849056603774,0,0,0,0,0,0,0,0,0.09999999999999999
C020,80000,38,71,25,0.58,13,-3,0,0,0,0,0,0.6410256410256411,1,1,0,1,0,0,0,0,0.11666666666666665
C021,130000,45,36,98,0.34,12,6,1,0,0,0,0,2.130434782608696,0,0,0,1,1,0,0,0,0.06666666666666667
C022,145000,22,45,49,0.55,7,10,0,0,0,0,0,2.130434782608696,0,0,0,0,0,0,0,0,0.0
C023,155000,41,89,24,0.52,9,5,0,0,0,0,0,0.5714285714285714,1,1,0,0,0,0,0,0,0.08333333333333333
C024,160000,80,31,23,0.69,8,-4,0,0,0,1,2,0.2839506172839506,1,1,0,0,0,1,0,1,0.2833333333333333
C025,100000,68,30,12,0.71,17,23,0,0,0,0,1,0.17391304347826086,1,2,1,1,0,0,0,0,0.3
C026,95000,95,77,59,0.24,1,-14,0,0,1,1,3,0.6145833333333334,0,0,0,0,1,0,0,0,0.4166666666666667
C027,35000,37,41,6,0.5,4,-22,0,1,2,0,0,0.15789473684210525,1,2,0,0,0,0,0,0,0.3333333333333333
C028,55000,75,98,56,0.7,4,2,0,0,0,0,2,0.7368421052631579,0,0,0,0,0,0,0,0,0.19999999999999998
C029,125000,51,66,35,0.6,5,22,2,0,0,0,1,0.6730769230769231,0,1,0,0,0,0,0,0,0.18333333333333335
C030,65000,54,61,44,0.89,18,-11,0,0,1,0,1,0.8,0,0,1,1,0,0,0,0,0.21666666666666667
C031,110000,71,38,19,0.73,7,-18,0,1,1,0,2,0.2638888888888889,1,2,0,0,0,1,1,1,0.45
C032,40000,66,48,64,0.33,15,-3,1,0,0,0,1,0.9552238805970149,0,0,1,1,1,0,0,0,0.16666666666666666
C033,145000,15,77,7,0.26,12,17,0,0,0,0,0,0.4375,1,2,0,1,1,0,0,0,0.2333333333333333
C034,90000,37,32,15,0.71,0,-2,0,0,0,0,0,0.39473684210526316,1,2,0,0,0,0,0,0,0.16666666666666666
C035,65000,37,49,13,0.22,21,-18,2,1,1,0,0,0.34210526315789475,1,2,1,2,1,0,0,0,0.35000000000000003
C036,150000,53,53,75,0.67,19,15,2,0,0,0,1,1.3888888888888888,0,0,1,1,0,0,0,0,0.13333333333333333
