customer_id,risk_level,strategies
C001,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 48 hours', 'message': 'We noticed a significant change in your spending patterns.', 'offer': 'Financial wellness check-in and budgeting tools'}]"
C002,MEDIUM,"[{'priority': 3, 'channel': 'Email or SMS', 'timing': 'Within 1 week', 'message': 'Tips for managing your credit card account effectively.', 'offer': 'Educational resources and payment reminders'}]"
C003,MEDIUM,"[{'priority': 3, 'channel': 'Email or SMS', 'timing': 'Within 1 week', 'message': 'Tips for managing your credit card account effectively.', 'offer': 'Educational resources and payment reminders'}]"
C004,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 48 hours', 'message': 'We noticed a significant change in your spending patterns.', 'offer': 'Financial wellness check-in and budgeting tools'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Immediate', 'message': ""Your credit utilization is very high. Let's discuss options."", 'offer': 'Payment plan or credit limit increase (if qualified)'}]"
C005,LOW,[]
C006,MEDIUM,"[{'priority': 3, 'channel': 'Email or SMS', 'timing': 'Within 1 week', 'message': 'Tips for managing your credit card account effectively.', 'offer': 'Educational resources and payment reminders'}]"
C007,MEDIUM,"[{'priority': 3, 'channel': 'Email or SMS', 'timing': 'Within 1 week', 'message': 'Tips for managing your credit card account effectively.', 'offer': 'Educational resources and payment reminders'}]"
C008,HIGH,"[{'priority': 2, 'channel': 'Phone Call or Email', 'timing': 'Within 48 hours', 'message': ""We're here to help. Let's review your account and explore options."", 'offer': 'Payment plan or financial counseling'}]"
C009,MEDIUM,"[{'priority': 3, 'channel': 'Email or SMS', 'timing': 'Within 1 week', 'message': 'Tips for managing your credit card account effectively.', 'offer': 'Educational resources and payment reminders'}]"
C010,CRITICAL,"[{'priority': 1, 'channel': 'Phone Call', 'timing': 'Immediate (within 24 hours)', 'message': ""Urgent: We noticed some concerning patterns in your account. Let's discuss payment options."", 'offer': 'Payment plan, hardship program, or credit limit adjustment'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 48 hours', 'message': 'We noticed a significant change in your spending patterns.', 'offer': 'Financial wellness check-in and budgeting tools'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Immediate', 'message': ""Your credit utilization is very high. Let's discuss options."", 'offer': 'Payment plan or credit limit increase (if qualified)'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 24 hours', 'message': 'We can help you get back on track with payments.', 'offer': 'Autopay setup, payment reminders, or payment assistance'}]"
C011,LOW,[]
C012,CRITICAL,"[{'priority': 1, 'channel': 'Phone Call', 'timing': 'Immediate (within 24 hours)', 'message': ""Urgent: We noticed some concerning patterns in your account. Let's discuss payment options."", 'offer': 'Payment plan, hardship program, or credit limit adjustment'}, {'priority': 1, 'channel': 'Phone Call', 'timing': 'Within 24 hours', 'message': 'We can help you get back on track with payments.', 'offer': 'Autopay setup, payment reminders, or payment assistance'}]"
C013,MEDIUM,"[{'priority': 3, 'channel': 'Email or SMS', 'timing': 'Within 1 week', 'message': 'Tips for managing your credit card account effectively.', 'offer': 'Educational resources and payment reminders'}]"
